name,genre,ratingValue,studios,episodes
Lupin III vs. Detective Conan: The Movie,"['Action', 'Comedy', 'Mystery', 'Shounen']",7.99,['TMS Entertainment'],1
Hanasaku Iroha,"['Slice of Life', 'Comedy', 'Drama']",7.99,['P.A. Works'],26
Haibane Renmei,"['Slice of Life', 'Mystery', 'Psychological', 'Drama', 'Fantasy']",7.99,['Radix'],13
City Hunter,"['Action', 'Comedy', 'Mystery', 'Shounen']",7.99,['Sunrise'],51
Cardcaptor Sakura: Clear Card-hen Prologue - Sakura to Futatsu no Kuma,"['Fantasy', 'Romance', 'Shoujo']",7.99,['Madhouse'],1
Berserk: Ougon Jidai-hen II - Doldrey Kouryaku,"['Action', 'Adventure', 'Demons', 'Drama', 'Fantasy', 'Horror', 'Military', 'Seinen', 'Supernatural']",7.99,['Studio 4°C'],1
Yakitate!! Japan,"['Comedy', 'Shounen']",8.0,['Sunrise'],69
Yagate Kimi ni Naru,"['Romance', 'School', 'Shoujo Ai']",8.0,['TROYCA'],13
xxxHOLiC Movie: Manatsu no Yoru no Yume,"['Mystery', 'Comedy', 'Psychological', 'Supernatural', 'Drama']",8.0,['Production I.G'],1
Tong Ling Fei,"['Comedy', 'Historical', 'Drama', 'Romance']",8.0,['Haoliners Animation League'],16
Tiger & Bunny,"['Action', 'Mystery', 'Comedy', 'Super Power']",8.0,['Sunrise'],25
Takarajima,"['Adventure', 'Mystery', 'Historical', 'Drama']",8.0,"['Madhouse', 'TMS Entertainment']",26
Shijou Saikyou no Deshi Kenichi OVA,"['Action', 'Martial Arts', 'Comedy', 'School', 'Shounen']",8.0,"[""Brain's Base""]",11
Sekaiichi Hatsukoi: Valentine-hen,"['Romance', 'Comedy', 'Shounen Ai']",8.0,['Studio Deen'],1
Plastic Memories,"['Sci-Fi', 'Drama', 'Romance']",8.0,['Doga Kobo'],13
Coquelicot-zaka kara,"['Historical', 'Romance', 'School', 'Shoujo']",7.94,['Studio Ghibli'],1
Carnival Phantasm,"['Comedy', 'Parody', 'Supernatural']",7.94,['Lerche'],12
Sayonara Zetsubou Sensei,"['Comedy', 'Parody', 'School', 'Shounen']",7.95,['Shaft'],12
Mobile Suit Gundam Thunderbolt,"['Action', 'Military', 'Sci-Fi', 'Space', 'Drama', 'Mecha']",7.95,['Sunrise'],4
Mahou Shoujo Lyrical Nanoha: The Movie 1st,"['Action', 'Magic', 'Comedy', 'Sci-Fi', 'Drama']",7.95,['Seven Arcs'],1
Macross F,"['Action', 'Space', 'Mecha', 'Romance', 'Military', 'Music', 'Sci-Fi']",7.95,['Satelight'],25
Kara no Kyoukai 4: Garan no Dou,"['Action', 'Mystery', 'Supernatural', 'Thriller']",7.95,['ufotable'],1
Kaleido Star: Legend of Phoenix - Layla Hamilton Monogatari,"['Comedy', 'Drama', 'Shoujo']",7.95,['Gonzo'],1
IDOLiSH7,['Music'],7.95,['TROYCA'],17
Gensei Shugoshin P-hyoro Ikka OVA,"['Adventure', 'Fantasy', 'Shoujo']",7.95,['add some'],3
Fairy Tail (2014),"['Action', 'Adventure', 'Comedy', 'Fantasy', 'Magic', 'Shounen']",7.95,"['A-1 Pictures', 'Bridge']",102
Zoku Sayonara Zetsubou Sensei,"['Comedy', 'Parody', 'School', 'Shounen']",7.96,['Shaft'],13
